title,is_complite,genre,author,synopsis,price,total_episode,comment,img_link
악마라고 불러다오 [독점],완결,로판,안테,"가슴 전문 스타 성형의사이자, 절대영도의 미남 현신.
그러나 그 정체는 인간의 ‘오만’을 흡수하는 대악마!
눈빛만으로 모두를 홀리는 마력의 이 남자,
의외로 ‘피’를 두려워한다는 약점이 있다.
인간계에서 의사로 살아가기에는 너무나 치명적인 체질.
그런데 어느 날 나타난 당돌한 여자, 이나에게는
현신의 유혹이 전혀 통하지 않을뿐더러,
그녀와 함께 있으면 피를 봐도 아무렇지도 않다.
이 여자, 곁에 두고 싶다. 계약을 맺어서라도!

“인간답게 너에게 한번 다가가 볼까.
네가 날 좋아하게 된다면야, 이 모든 건 쉬워질 테니까.”",1,249,11231,https://comicthumb-phinf.pstatic.net/20200527_51/pocket_159055793045644lJe_JPEG/-_-.jpg?type=m260
우아한 짐승의 세계,완결,로판,임혜,"온 세상이 무겁게 가라앉은 깊은 밤. 흑암보다 어둡고 얼음보다 서늘한 우아한 짐승, 세류를 만났다. 운명처럼 시작된 그와의 만남은 생명을 위협하는 칼날과도 같았으나, 아무것도 가지지 못한 내 인생의 구원이었다. 그랬기에 슬픔을 예감하면서도 전부를 걸고 사랑할 수밖에 없었던 나의 이야기. 우아한 네 짐승과 함께하는 신비한 대협곡 속으로 여러분을 초대합니다.
				",1,94,8051,https://comicthumb-phinf.pstatic.net/20140904_170/pocket_1409815752831tczB9_JPEG/1.jpg?type=m260
이계진입 리로디드 [독점],완결,판타지,임경배,"왕의 심장이 불타 사라질 때, 현세의 운명을 초월한 존재가 이 땅에 강림하리라!
폭군을 쓰러트리고 이세계를 구원한 지구인 소년 성시한.
부와 명예, 아름다운 연인… 해피엔딩으로 이야기는 끝인 줄 알았건만, 그 대가는 목숨 걸고 이룩한 모든 걸 빼앗기고 지구로 추방되는 것이었다.
이에 시한은 10년의 절치부심 끝에 테라노어로 되돌아오게 되는데… 한 번 세상을 구한 영웅의 이계 ‘재’진입 이야기!

* 이 작품은 '네이버 웹소설'(novel.naver.com)에서 연재중인 작품입니다.
웹소설 연재분은 무료로 즐기고, 다음 화를 미리 보고싶다면 네이버북스에서 구매하여 이용하세요.",1,302,5810,https://comicthumb-phinf.pstatic.net/20160822_152/pocket_1471849279299JgBck_JPEG/___.jpg?type=m260
"열렬하게, 단하나 [독점]",완결,로맨스,이른봄,"‘바늘 가는 데 실 가고 박도결 가는 데 나도 간다!’는 신조로 내 가수 따라 연습생이 되었다가 인생의 목표까지 찾은 단하나.
꿈도 사랑도 7년째 지하 연습실에 고여 막막하기만 하던 어느 날, 데뷔 서바이벌 < Derby&Debut >의 출연 기회를 얻게 된다. 그것도 내 오빠와 한 팀이 되어!
“우승하면 바로 데뷔야. 대신 못 하면 가수라는 꿈은 접어. 거기까지가 네 한계인 거니까.” 입덕을 부르는 남자, 그리고 연습생을 가장한 덕후의 은밀하고 열렬한 덕심폭발 로맨시트콤!",1,94,3222,https://comicthumb-phinf.pstatic.net/20161028_21/pocket_1477623864773ndv78_JPEG/__650x874.jpg?type=m260
녹아들다,완결,로맨스,Lunar 이지연,"“너, 내가 밀랍인형이라고 그랬지. 내가 정말 그렇게 차갑다면……? 네가 좀 녹여줘.”
오는 남자 안 막고, 가는 남자 반쯤 죽여버리는 화끈한 파티걸 신민정을 뒤흔들어버린 그 한 마디.
“녹여달라고 했어.”
과연 민정은 얼음처럼 차갑다 못해 감정이 느껴지지 않는 남자, 밀랍인형 홍성진을 녹일 수 있을까?",1,78,690,https://comicthumb-phinf.pstatic.net/20210310_98/pocket_16153664978058gAAh_JPEG/cover.jpg?type=m260
꼬리 아홉 달린 곰 [독점],완결,로맨스,정도령,"“세상에 여자는 많죠. 근데 그거 알아요? 나는 한 명이라는 거?”  조기졸업, 초고속 승진, 수재로 소문난 IQ 150의 송세현은 J건설이 글로벌 기업으로 거듭나기 위해 없어서는 안 될 비밀병기로 인정받고 있다. 그러던 어느 날, 세현의 팀으로 신입 같지 않은 신입, 섹시한 마성의 남자 현준이 들어오게 되면서 딱딱한 오피스 라이프에 핑크빛 심쿵 에피소드가 연달아 터지게 되는데...... 러브 포텐으로 가득한 달콤상큼 리얼 오피스 로맨스! 지금 시작합니다.
				",1,88,1282,https://comicthumb-phinf.pstatic.net/20150923_11/pocket_14429941274865lrwO_JPEG/cover.jpg?type=m260
그 남자의 정원 [독점],완결,로맨스,로즈빈,"웅크렸던 과거를 딛고 일어나 주연으로 우뚝 선 여배우 민정원. 무명의 세월은 가라!당당하게 외치며 앞으로 걸어나가는 그녀 앞에 이게 웬일!? 시크한 매력의 반도의 톱스타 강태준도 모자라 헤어진 첫사랑 정재민까지 촬영장에 나타났다! 드라마 촬영장 속 사심 넘치는 좌충우돌 리얼 로맨틱 코미디. 사랑과 역경 속에 울창하게 피어날 그 남자의 정원 속으로 여러분을 초대합니다.
				",1,90,2830,https://comicthumb-phinf.pstatic.net/20150320_294/pocket_1426830967623rYMBF_JPEG/%B1%D7_%B3%B2%C0%DA%C0%C7_%C1%A4%BF%F8-%C7%A5%C1%F6_%BC%F6%C1%A4_%C3%D6%C1%BE%BA%BB%28%C0%CE%C5%B8%C0%CC%C6%B2%29.jpg?type=m260
보스의 노골적 취향,완결,로맨스,시크크,"외모, 재력, 능력, 치명적인 매력까지 갖춘 재벌남 권도혁.
오래도록 치유되지 않는 불면증 때문에 매일 밤이 괴로운데, 설상가상 아버지의 일방적인 약혼 명령까지 떨어진다.
은밀히 들른 정신과 클리닉. 그를 기다리고 있는 건 하얀 가운을 입은 새파랗게 어린 여의사. 병명을 묻는 여자에게 그는 대놓고 충격적인 고백을 하는데…….
사생활이 복잡한 아버지에게 새로운 관심사가 생겼다며 비서가 도혁에게 내민 인디 밴드 앨범 한 장. 앨범 속 여자와 정신과 클리닉에서 만난 수상한 그녀가 동일인임을 확신한 순간 도혁의 노골적인 계략이 시작된다.",1,87,989,https://comicthumb-phinf.pstatic.net/20150914_144/pocket_1442224393880cmorE_JPEG/bono_cover.jpg?type=m260
신사와의 기묘한 계약 [독점],완결,로판,유세라,"낮에는 저명한 범죄학자, 밤에는 수인들의 왕으로 군림하는 에릭 클리서링 경에게 인생을 저당 잡힌 소녀가장 이로윤.
속은 시커먼 호랑이지만 겉은 매력적인 신사인 에릭이 갑자기 로윤의 후견인을 자처하고 나서면서, 그녀의 주변에는 무시무시한 사건들이 끊이질 않는데…….
수인들의 힘을 악용해 세계를 집어삼키려는 마피아 조직의 위협 속에서 기묘한 계약으로 얽혀버린 두 사람의 섹시하고 미스터리한 로맨틱 판타지가 시작된다!",1,153,2410,https://comicthumb-phinf.pstatic.net/20160405_194/pocket_14598210938028afcE_JPEG/cover.jpg?type=m260
조선연애실록 [독점],완결,로맨스,로즈빈,"절륜함은 기본이요, 잘생김을 담당하고 있는 이 꽃선생이, 조선의 세자라고?
반가의 여식으로 자라 곱고 귀한 것들만 알고 지내던 용희가 하루아침에 세상 밖으로 내던져졌다!
가문의 억울함을 풀기 위해 남장을 한 용희는 우연히 만난 완에게 기상천외한 제안을 받게 되는데.
​“좋소. 그 거래, 해보겠소.”
모두는 곱디고운 그녀의 허술한 남장에 속아주기 바쁘고, 더욱이 조선의 세자께선 고약한 용희의 언동에 뒷목 잡기 일쑤이니!
오직 너여야만 하는 완과, 너만 아니면 될 것 같은 용희의 아찔한 동행! 이 거래, 정말 괜찮을까요?",1,104,1992,https://comicthumb-phinf.pstatic.net/20160525_297/pocket_1464180572089FvQGi_JPEG/-.jpg?type=m260
